"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,893846","0,009629","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"3145728,000000","0,000000","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,315667","0,064683","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"524288,000000","106759,472562","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"6648,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,968729","0,005329","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"61,185889","0,308693","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"71079199,600000","4336,532005","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"935,654954","4,776532","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1086943395,840000","241580,905493","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,895518","0,009581","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2202009,600000","0,000000","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"1,272834","0,082830","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"1478492,160000","89988,800023","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"90,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"10221,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,172623","0,000531","ops/s",test_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"45,191652","0,117941","MB/sec",test_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"301387367,200000","20093,064051","B/op",test_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"733,080879","1,855016","MB/sec",test_id,foreach_java
